품목코드(ITM_CD),품목명(ITM_NM),품목약어명(ITM_AVVR_NM),최저톤수율(LWST_TON_RT)
1010000,광산품,광산품,0
1010100,석탄류,석탄류,0
1010101,유연탄,유연탄,100
1010101,유연탄,유연탄,90
1010102,국내무연탄,국내무연탄,100
1010103,수입무연탄(~08무연괴탄),수입무연탄,100
1010103,수입무연탄(~08무연괴탄),수입무연탄,90
1010104,경석,경석,100
1010151,코크스,코크스,70
1010199,석탄류기타,석탄류기타,100
1010200,석류,석류,0
1010201,원석,원석,100
1010202,자갈,자갈,100
1010203,모래,모래,100
1010204,골재,골재,100
1010253,석분,석분,100
1010254,쇄석,쇄석,100
1010299,석류기타,석류기타,100
1010300,금속광석류,금속광석류,0
1010301,철광석,철광석,100
1010302,동광석,동광석,100
1010303,연광석,연광석,100
1010304,아연광,아연광,100
1010399,금속광석류기타,금속광석기타,100
1010400,비금속광석류,비금속광석류,0
1010401,사문석,사문석,100
1010402,흑연,흑연,100
1010451,활석분,활석분,100
1010452,납석,납석,100
1010453,규사,규사,100
1010454,규석,규석,100
1010499,비금속광석류기타,비금광석기타,100
1010500,석회석류,석회석류,0
1010501,석회석 중괴,석회석 중괴,100
1010502,석회석 소괴,석회석 소괴,100
1010503,석회석분,석회석분,100
1010504,백운석 중괴,백운석 중괴,100
1010505,백운석 소괴,백운석 소괴,100
1010599,석회석류기타,석회석류기타,100
1010600,점토류,점토류,0
1010601,점토류,점토류,100
1010602,고령토,고령토,100
1010604,흙,흙,100
1010699,점토류기타,점토류기타,100
1010700,광재류,광재류,0
1010701,광재,광재,100
1010702,광재분,광재분,100
1010799,광재류기타,광재류기타,100
1020000,임산품,임산품,0
1020100,목재류,목재류,0
1020101,목재류,목재류,100
1020101,목재류,목재류,100
1020102,갱목,갱목,100
1020104,대나무,대나무,80
1020199,목재류기타,목재류기타,100
1020199,목재류기타,목재류기타,60
1020200,가공목재류,가공목재류,0
1020201,가공목재류(~08경목),가공목재류,60
1020201,가공목재류(~08경목),가공목재류,80
1020202,각목,각목,100
1020202,각목,각목,60
1020203,가공목재,가공목재,100
1020203,가공목재,가공목재,60
1020204,합판,합판,100
1020204,합판,합판,60
1020251,나무상자,나무상자,60
1020252,나무깔판,나무깔판,60
1020299,가공목재류기타,가공목재류,80
1020299,가공목재류기타,가공목재류,60
1020300,식목류,식목류,0
1020301,식목류,식목류,60
1020301,식목류,식목류,80
1020302,관상수,관상수,60
1020303,식목류기타,식목류기타,60
1020399,묘목기타,묘목기타,60
1020400,초류,초류,0
1020401,잔디,잔디,100
1020402,짚,짚,60
1020451,건초,건초,70
1020499,초류기타,초류기타,60
1020499,초류기타,초류기타,80
1030000,농산품,농산품,0
1030100,곡물류,곡물류,0
1030101,쌀,쌀,100
1030102,벼,벼,100
1030103,보리쌀,보리쌀,100
1030104,밀,밀,100
1030105,압맥,압맥,70
1030106,혼합곡,혼합곡,100
1030107,밀쌀,밀쌀,100
1030151,밀가루,밀가루,100
1030151,밀가루,밀가루,90
1030154,옥수수가루,옥수수가루,100
1030199,곡물류기타,곡물류 기타,100
1030200,잡곡류,잡곡류,0
1030201,잡곡류(~08옥수수),잡곡류,100
1030202,콩,콩,100
1030203,팥,팥,100
1030204,조,조,100
1030205,들깨,들깨,90
1030206,참깨,참깨,90
1030207,피마자,피마자,90
1030299,잡곡류기타,잡곡류기타,90
1030300,채소류,채소류,0
1030301,채소류(~08건마늘),채소류,70
1030301,채소류(~08건마늘),채소류,90
1030302,건고추,건고추,60
1030303,감자,감자,90
1030304,고구마,고구마,90
9640101,황산,황산,100
1030351,고추가루,고추가루,80
1030399,채소류기타,채소류기타,70
1030400,과일류,과일류,0
1030401,과일류(~08건과물),과일류,100
1030499,과일류기타,과일류기타,100
1030500,사료류,사료류,0
1030501,사료류(~혼합사료),사료류,90
1030599,사료류기타,사료류기타,90
1040000,축산품,축산품,0
1040100,동물류,동물류,0
1040199,동물류(~08동물류기타),동물류,60
1040199,동물류(~08동물류기타),동물류,80
1040200,육류,육류,0
1040299,육류(~08육류기타),육류,60
1040299,육류(~08육류기타),육류,80
1040300,우유류,우유류,0
1040399,우유류(~08우유류기타),우유류,100
1050000,수산품,수산품,0
1050100,어개류,어개류,0
1050101,어개류(~08물고기류),어개류,70
1050101,어개류(~08물고기류),어개류,80
1050102,조개류,조개류,80
1050200,해초류,해초류,0
1050299,해초류(~08해초류기타),해초류,70
1050299,해초류(~08해초류기타),해초류,80
1050300,소금류,소금류,0
1050301,식염,식염,100
1050302,공업염,공업염,100
1050400,물류,물류,0
1050401,물류(~08물),물류,100
1060000,중공업품,중공업품,0
1060100,철강품류,철강품류,0
1060101,강판,강판,60
1060101,강판,강판,80
1060102,열연,열연,70
1060102,열연,열연,80
1060103,냉연,냉연,70
1060103,냉연,냉연,80
1060104,선철,선철,100
1060105,저중량냉연(~08인코트),저중량냉연,100
1060105,저중량냉연(~08인코트),저중량냉연,60
1060106,선재(Wire Rod),선재,80
1060107,스라브(Slab),스라브,90
1060108,비레트(Billet),비레트,90
1060122,철근,철근,60
1060122,철근,철근,80
1060123,앵글,앵글,60
1060124,철관,철관,60
1060124,철관,철관,80
1060125,철사,철사,100
1060126,와이야로프,와이야로프,100
1060126,와이야로프,와이야로프,60
1060127,철망,철망,100
1060127,철망,철망,60
1060151,못,못,100
1060151,못,못,60
1060152,알미늄제품,알미늄제품,60
1060153,스텐레스제품,스텐레스제품,100
1060191,고철,고철,100
1060191,고철,고철,60
1060192,폐관-금속관,폐관-금속관,60
1060199,철강품기타,철강품기타,100
1060199,철강품기타,철강품기타,80
1060200,기기류,기기류,0
1060201,기기류(~08원동기-엔진),기기류,60
1060201,기기류(~08원동기-엔진),기기류,80
1060202,보일러,보일러,100
1060202,보일러,보일러,60
1060203,사출기,사출기,100
1060204,기계,기계,100
1060205,계량기,계량기,70
1060299,기기류기타,기기류기타,100
1060299,기기류기타,기기류기타,60
1060300,중장비류,중장비류,80
1060301,중장비류(~08불도저),중장비류,60
1060301,중장비류(~08불도저),중장비류,80
1060302,포크레인,포크레인,60
1060303,페루다,페루다,60
1060304,지게차,지게차,60
1060305,크레인류,크레인류,60
1060399,중장비류기타,중장비류기타,80
1060400,차량류,차량류,0
1060401,승용차,승용차,60
1060401,승용차,승용차,80
1060402,승합차,승합차,60
1060403,화물자동차,화물자동차,60
1060406,차량부분품,차량부분품,60
1060407,축전지 약액무,축전지,100
1060407,축전지 약액무,축전지,60
1060408,고무타이어,고무타이어,60
1060499,차량류기타,차량류기타,60
1060499,차량류기타,차량류기타,80
1060500,전력장비류,전력장비류,0
1060501,철탑전주,철탑전주,100
1060502,콘크리트전주,콘크리트전주,100
1060503,전선,전선,100
1060505,변압기,변압기,100
1060505,변압기,변압기,80
1060599,전력장비류기타,전력장비기타,60
1060599,전력장비류기타,전력장비기타,80
1060600,통신장비류,통신장비류,0
1060601,통신장비류(~08케이불선),통신장비류,60
1060601,통신장비류(~08케이불선),통신장비류,80
1060602,무선통신장비,무선통신장비,100
1060602,무선통신장비,무선통신장비,60
1060603,유선통신장비,유선통신장비,100
1060604,전화기,전화기,70
1060604,전화기,전화기,60
1060699,통신장비류기타,통신장비기타,100
1060699,통신장비류기타,통신장비기타,60
1060700,전자제품류,전자제품류,0
1060701,전자제품류(~08냉장고),전자제품류,80
1060701,전자제품류(~08냉장고),전자제품류,70
1060702,텔레비젼,텔레비젼,60
1060703,오디오,오디오,60
1060704,전자계산기,전자계산기,60
1060799,전자제품류기타,전자제품기타,80
1060799,전자제품류기타,전자제품기타,60
1060800,항공기류,항공기류,0
1060801,항공기류(~08항공기),항공기류,70
1060801,항공기류(~08항공기),항공기류,80
1060802,항공기부분품,항공기부분품,70
1060802,항공기부분품,항공기부분품,60
1060900,선박류,선박류,0
1060901,선박류(~08선박),선박류,60
1060901,선박류(~08선박),선박류,80
1060902,선박 부분품,선박부분품,60
1063100,개인화기류,개인화기류,0
1063101,개인화기류(~08총),개인화기류,60
1063101,개인화기류(~08총),개인화기류,80
1063102,탄환(화약무),탄환,100
1063102,탄환(화약무),탄환,60
1063103,방독면,방독면,90
1063104,도검,도검,90
1063105,철모,철모,90
1063199,개인화기류기타,개인화기기타,90
1063199,개인화기류기타,개인화기기타,60
1063200,중화기류,중화기류,0
1063299,중화기류(~08중화기류기타),중화기류,60
1063299,중화기류(~08중화기류기타),중화기류,80
1063300,대형화기류,대형화기류,0
1063302,전차.탱크류,전차.탱크류,60
1063302,전차.탱크류,전차.탱크류,80
1063303,대포류,대포류,60
1063399,대형화기류기타,대형화기기타,60
1063399,대형화기류기타,대형화기기타,80
1065100,철도차량류,철도차량류,0
1065101,갑종철도차량,갑종철도차량,100
1065201,을종철도차량,을종철도차량,60
1065201,을종철도차량,을종철도차량,80
1065301,"차대,차체","차대,차체",60
1065302,철도차량부품,철도차량부품,60
1065303,차륜,차륜,60
1065304,차축,차축,60
1065305,브레이크슈,브레이크슈,60
1065399,철도차량류기타,철도차량기타,60
1065399,철도차량류기타,철도차량기타,80
1065400,철도선로용품류,철도선로용품,0
1065401,레일,레일,60
1065401,레일,레일,80
1065402,PC침목,PC침목,60
1065402,PC침목,PC침목,80
1065403,목침목,목침목,60
1065403,목침목,목침목,80
1065404,전차대 및 부속,전차대및부속,60
1065405,전철기 재료,전철기재료,60
1065406,신호보안재료,신호보안재료,60
1065407,레일부속품,레일부속품,60
1065499,철도선로품기타,철도선로기타,60
1065499,철도선로품기타,철도선로기타,80
1070000,경공업품,경공업품,0
1070100,종이류,종이류,0
1070101,신문용롤지(08신문용권취지),신문용롤지,50
1070101,신문용롤지(08신문용권취지),신문용롤지,70
1070102,인쇄지,인쇄지,60
1070102,인쇄지,인쇄지,70
1070103,신문용평판지,신문용평판지,60
1070103,신문용평판지,신문용평판지,70
1070104,화장지,화장지,60
1070106,파지,파지,60
1070106,파지,파지,70
1070107,모조지,모조지,60
1070151,헌신문잡지,헌신문잡지,60
1070199,종이류기타,종이류기타,60
1070199,종이류기타,종이류기타,70
1070200,인쇄물류,인쇄물류,0
1070299,인쇄물류기타,인쇄물류기타,100
1070299,인쇄물류기타,인쇄물류기타,60
1070300,문구류,문구류,0
1070399,문구류(~08문구류기타),문구류,100
1070400,완구류,완구류,0
1070499,완구류(~08완구류기타),완구류,100
1070500,포장용기류,포장용기류,0
1070501,공드럼 드럼관,공드럼드럼관,60
1070502,가마니,가마니,60
1070503,마대,마대,60
1070504,지대,지대,60
1070504,지대,지대,80
1070505,상자,상자,60
1070599,포장용기류기타,포장용기기타,60
1070599,포장용기류기타,포장용기기타,80
1070600,가구류,가구류,0
1070601,가구류(~08장농류),가구류,60
1070601,가구류(~08장농류),가구류,80
1070602,책상류,책상류,60
1070603,침대,침대,70
1070606,가전제품,가전제품,60
1070699,가구류기타,가구류기타,60
1070700,잡화류,잡화류,0
1070701,잡화류(~08가방류),잡화류,60
1070701,잡화류(~08가방류),잡화류,80
1070702,신발류,신발류,60
1070799,잡화류기타,잡화류기타,60
1080000,화학공업,화학공업,0
1080100,유류_일반,유류_일반,0
1080104,등유_일반,등유_일반,70
1080104,등유_일반,등유_일반,80
1080105,경유_일반,경유_일반,70
1080105,경유_일반,경유_일반,80
1080106,중유_일반,중유_일반,90
1080107,방카C유_일반,방카C유_일반,95
1080108,폐유_일반,폐유_일반,100
1080109,A1제트유_일반,A1제트유_일반,80
1080110,윤활유_일반,윤활유_일반,60
1080110,윤활유_일반,윤활유_일반,80
1080111,JP-8제트유_일반,JP8제트유_일반,80
1080199,유류기타_일반,유류기타_일반,60
1080199,유류기타_일반,유류기타_일반,80
1080200,타루류,타루류,0
1080201,방부제,방부제,100
1080202,아스팔트,아스팔트,100
1080202,아스팔트,아스팔트,90
1080203,피치코크스,피치코크스,80
1080204,부동액,부동액,60
1080204,부동액,부동액,80
1080299,타루류기타,타루류기타,100
1080299,타루류기타,타루류기타,80
1080300,비료류,비료류,0
1080301,비료류(~08질소질비료),비료류,90
1080301,비료류(~08질소질비료),비료류,90
1080302,인산비료,인산비료,100
1080302,인산비료,인산비료,90
1080303,가리비료,가리비료,100
1080303,가리비료,가리비료,90
1080304,복합비료,복합비료,100
1080304,복합비료,복합비료,90
1080305,규산질비료,규산질비료,100
1080305,규산질비료,규산질비료,90
1080306,석회석분말비료,석회석비료,100
1080306,석회석분말비료,석회석비료,90
1080307,유기질비료,유기질비료,100
1080307,유기질비료,유기질비료,90
1080308,요소비료,요소비료,100
1080308,요소비료,요소비료,90
1080309,유안비료,유안비료,100
1080309,유안비료,유안비료,90
1080310,용성인비,용성인비,100
1080310,용성인비,용성인비,90
1080311,용과린비료,용과린비료,100
1080311,용과린비료,용과린비료,90
1080312,중과석비료,중과석비료,100
1080312,중과석비료,중과석비료,90
1080313,염화가리비료,염화가리비료,100
1080313,염화가리비료,염화가리비료,90
1080314,산림용복비,산림용복비,100
1080314,산림용복비,산림용복비,90
1080315,소석회비료,소석회비료,100
1080315,소석회비료,소석회비료,90
1080316,규석회비료,규석회비료,100
1080316,규석회비료,규석회비료,90
1080317,무기질비료,무기질비료,100
1080317,무기질비료,무기질비료,90
1080399,비료류기타,비료류기타,100
1080399,비료류기타,비료류기타,90
1080400,도료.염료류,도료.염료류,0
1080401,도료.염료류(~08페인트),도료.염료류,100
1080402,니스,니스,100
1080403,퍼디,퍼디,100
1080404,구두약,구두약,100
1080404,구두약,구두약,60
1080405,염료류,염료류,80
1080499,도료염료류기타,도료염료기타,100
1080499,도료염료류기타,도료염료기타,60
1080500,약품류,약품류,0
1080599,약품류(~08약품류기타),약품류,100
1080600,합성수지류,합성수지류,0
1080601,합성수지류(~08비닐),합성수지류,80
1080602,포리에칠렌,포리에칠렌,80
1080651,프라스틱제품,프라스틱제품,90
1080652,스폰지제품,스폰지제품,60
1080653,빈 파렛트(Pallet),빈파렛트,60
1080653,빈 파렛트(Pallet),빈파렛트,30
1080699,합성수지류기타,합성수지기타,80
1080700,고무류,고무류,0
1080701,고무류(~08고무),고무류,60
1080701,고무류(~08고무),고무류,80
1080702,헌고무,헌고무,60
1080799,고무류기타,고무류기타,60
1080800,유지류,유지류,0
1080801,유지류(~08세탁비누),유지류,60
1080801,유지류(~08세탁비누),유지류,80
1080802,세면비누,세면비누,100
1080802,세면비누,세면비누,60
1080803,가루비누,가루비누,100
1080803,가루비누,가루비누,60
1080804,물비누.샴푸포함,물비누샴푸포,100
1080804,물비누.샴푸포함,물비누샴푸포,60
1080899,비누류기타,비누류기타,100
1080899,비누류기타,비누류기타,60
1080900,양회류,양회류,0
1080901,포대양회,포대양회,60
1080901,포대양회,포대양회,80
1080902,벌크양회,벌크양회,100
1080903,크링카,크링카,100
1080904,백시멘트,백시멘트,60
1080905,성구(成球),성구,100
1081000,요업품류,요업품류,0
1081001,벽돌,벽돌,100
1081002,시멘트관,시멘트관,80
1081004,스레트,스레트,100
1081005,석고프라스타,석고프라스타,100
1081006,유리,유리,100
1081006,유리,유리,70
1081007,석고,석고,100
1081007,석고,석고,90
1081008,소석회,소석회,100
1081009,생석회,생석회,100
1081099,요업품류기타,요업품류기타,100
1090000,식품공업,식품공업,0
1090100,조미료,조미료,0
1090101,원당,원당,100
1090102,설탕,설탕,100
1090103,엿,설탕,100
1090199,조미료기타,조미료기타,100
1090200,다류,다류,0
1090201,다류(~08커피류),다류,70
1090201,다류(~08커피류),다류,80
1090299,다류기타,다류기타,70
1090300,주류,주류,0
1090301,주류(~08맥주),주류,100
1090302,소주,소주,100
1090399,주류기타,주류기타,100
1090400,가공식품류,가공식품류,0
1090401,가공식품류(~08라면류),가공식품류,60
1090401,가공식품류(~08라면류),가공식품류,100
1090402,통조림,통조림,100
1090403,건빵,건빵,80
1090499,가공식품류기타,가공식품기타,100
1090500,연초류,연초류,0
1090502,연초류(~08담배),연초류,60
1090502,연초류(~08담배),연초류,80
